ImageName, PSNR, SSIM, MSE
L096_frame192,31.5254,0.7560,35.400131
L096_frame193,31.6638,0.7607,34.730389
L096_frame194,31.6070,0.7583,35.180416
L096_frame195,31.1061,0.7431,38.020050
L096_frame196,31.1380,0.7446,37.871716
L096_frame197,30.9835,0.7403,39.052887
L096_frame198,30.6879,0.7316,40.347290
L096_frame199,30.8576,0.7393,39.336926
L096_frame200,30.9229,0.7395,39.144699
L096_frame201,30.6436,0.7330,40.401279
L096_frame202,30.9790,0.7451,38.519367
L096_frame203,30.9265,0.7449,38.802391
L096_frame204,30.6576,0.7342,39.864025
L096_frame205,31.0829,0.7478,37.845909
L096_frame206,31.3362,0.7566,36.085117
L096_frame207,31.2255,0.7500,36.254730
L096_frame208,31.4666,0.7592,35.075062
L096_frame209,31.3301,0.7554,35.965672
L096_frame210,30.9194,0.7427,38.059185
L096_frame211,30.9375,0.7447,37.986801
L096_frame212,30.8145,0.7408,38.663036
L096_frame213,30.5765,0.7298,40.013687
L096_frame214,30.7945,0.7360,38.885963
L096_frame215,30.7886,0.7351,38.919662
L096_frame216,30.5118,0.7252,40.472740
L096_frame217,30.7689,0.7350,39.004925
L096_frame218,30.7523,0.7340,39.119709
L096_frame219,30.6072,0.7292,39.961876
L096_frame220,30.9778,0.7409,37.910938
L096_frame221,31.0448,0.7402,37.541821
L096_frame222,30.9090,0.7375,38.156860
L096_frame223,31.0969,0.7430,37.142372
L096_frame224,31.2061,0.7459,36.344189
L096_frame225,31.0699,0.7433,36.809166
L096_frame226,31.2374,0.7516,35.738632
L096_frame227,31.3461,0.7554,35.523643
L096_frame228,31.2035,0.7511,36.129089
L096_frame229,31.3407,0.7545,35.492374
L096_frame230,31.3463,0.7537,35.152912
L096_frame231,31.1347,0.7494,36.335758
L096_frame232,31.2864,0.7538,35.660812
L096_frame233,31.2025,0.7532,35.979809
L096_frame234,30.9723,0.7475,37.248142
L096_frame235,31.2371,0.7572,36.055790
L096_frame236,31.3403,0.7597,35.448158
L096_frame237,31.0563,0.7528,36.659538
L096_frame238,31.3423,0.7604,35.015228
L096_frame239,31.4992,0.7650,34.301136
L096_frame240,31.2461,0.7580,35.553181
L096_frame241,31.5548,0.7670,33.640667
L096_frame242,31.7333,0.7694,33.174011
L096_frame243,31.4470,0.7611,34.645855
L096_frame244,31.5922,0.7681,33.997719
L096_frame245,31.5019,0.7671,34.268734
L096_frame246,31.2417,0.7595,35.424889
L096_frame247,31.5858,0.7681,33.883572
L096_frame248,31.6143,0.7695,33.823860
L096_frame249,31.3351,0.7592,35.058243
L096_frame250,31.7060,0.7710,33.497509
L096_frame251,31.6788,0.7688,33.709038
L096_frame252,31.5255,0.7624,34.425343
L096_frame253,31.9993,0.7768,31.930958
L096_frame254,32.1748,0.7804,30.845104
L096_frame255,32.2555,0.7813,30.317703
L096_frame256,32.4355,0.7862,29.689636
L096_frame257,32.2390,0.7814,30.403099
L096_frame258,32.0819,0.7755,31.512653
L096_frame259,32.3066,0.7861,29.970497
L096_frame260,32.2802,0.7862,30.041504
L096_frame261,32.0533,0.7792,31.164505
L096_frame262,32.2451,0.7865,30.239262
L096_frame263,32.2555,0.7850,30.527863
L096_frame264,32.1371,0.7809,30.801544
L096_frame265,32.2954,0.7848,30.492554
L096_frame266,32.3762,0.7882,29.991905
L096_frame267,32.1487,0.7815,31.416336
L096_frame268,32.4040,0.7899,29.941883
L096_frame269,32.5679,0.7958,29.075138
L096_frame270,32.4681,0.7927,29.502522
L096_frame271,32.7516,0.8007,28.101936
L096_frame272,32.9315,0.8066,27.128365
L096_frame273,32.9131,0.8057,26.888924
L096_frame274,33.2566,0.8177,24.874336
L096_frame275,33.5993,0.8278,22.638054
L096_frame276,33.3204,0.8206,24.096882
L096_frame277,33.6313,0.8289,22.487137
L096_frame278,33.6423,0.8272,22.571926
L096_frame279,33.2840,0.8146,24.447395
L096_frame280,33.5252,0.8224,23.262390
L096_frame281,33.4634,0.8215,23.611927
L096_frame282,33.0794,0.8058,26.214863
L096_frame283,32.9986,0.8025,26.978241
L096_frame284,32.8179,0.7963,27.954174
L096_frame285,32.5988,0.7875,29.366581
L096_frame286,33.0241,0.7985,27.363216
L096_frame287,33.2956,0.8053,26.044685
L096_frame288,33.1378,0.7996,26.532139
L096_frame289,33.3542,0.8052,25.686405
L096_frame290,33.3064,0.8046,26.059410
L096_frame291,33.0796,0.7987,26.679173
L096_frame292,33.3969,0.8067,25.272774
L096_frame293,33.2406,0.8042,26.100773
L096_frame294,33.1359,0.8034,26.554272
L096_frame295,33.3586,0.8103,25.405006
L096_frame296,33.4455,0.8114,25.121429
L096_frame297,33.2285,0.8059,26.135994
L096_frame298,33.3352,0.8087,25.852837
L096_frame299,33.3654,0.8083,25.849827
L096_frame300,33.2739,0.8074,26.289070
L096_frame301,33.6033,0.8163,24.850113
L096_frame302,33.7670,0.8222,23.971928
L096_frame303,33.5514,0.8163,24.939999
L096_frame304,33.9142,0.8282,23.083797
L096_frame305,33.9594,0.8287,22.930573
L096_frame306,33.7378,0.8201,23.865963
L096_frame307,34.2715,0.8354,21.438271
L096_frame308,34.3721,0.8352,21.157036
L096_frame309,34.1167,0.8276,22.187668
L096_frame310,34.4130,0.8366,20.606693
L096_frame311,34.4219,0.8367,20.685951
L096_frame312,34.3487,0.8342,20.828426
L096_frame313,34.6196,0.8420,19.669827
L096_frame314,34.4673,0.8379,20.300629
L096_frame315,34.1322,0.8273,21.936707
L096_frame316,34.5057,0.8373,20.765907
L096_frame317,34.5588,0.8378,20.592449
L096_frame318,34.4017,0.8320,21.211945
L096_frame319,34.8447,0.8422,19.449905
L096_frame320,35.0837,0.8468,18.518036
L096_frame321,34.7973,0.8393,19.604816
L096_frame322,34.9299,0.8446,18.973560
L096_frame323,34.9465,0.8452,18.764648
L096_frame324,34.6502,0.8381,19.933994
