Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
134	0.17570981	0.10262221	33.492	1.855	0.950	0.018	0.022	0.005
135	0.17572674	0.10306501	33.469	1.929	0.950	0.019	0.022	0.005
136	0.17562102	0.10286809	33.466	1.863	0.950	0.018	0.022	0.005
137	0.17555811	0.10262956	33.487	1.893	0.950	0.018	0.022	0.005
138	0.17551079	0.10272778	33.463	1.926	0.950	0.019	0.022	0.005
139	0.17571389	0.10292002	33.485	1.881	0.950	0.018	0.022	0.005
140	0.17578018	0.10292194	33.451	1.905	0.950	0.019	0.022	0.005
141	0.17577463	0.10264337	33.481	1.888	0.950	0.018	0.022	0.005
142	0.17557777	0.10322263	33.418	1.985	0.950	0.019	0.022	0.005
143	0.17566361	0.10323461	33.440	1.918	0.950	0.019	0.022	0.005
144	0.17569384	0.10258868	33.518	1.855	0.950	0.018	0.022	0.005
145	0.17561457	0.10306789	33.461	1.877	0.950	0.018	0.022	0.005
146	0.17572232	0.10305636	33.465	1.885	0.950	0.018	0.022	0.005
147	0.17554245	0.10294863	33.477	1.917	0.950	0.019	0.022	0.005
148	0.17574022	0.10255779	33.498	1.867	0.950	0.018	0.022	0.005
149	0.17564312	0.10304838	33.487	1.879	0.950	0.018	0.022	0.005
150	0.17575663	0.10311162	33.419	1.955	0.950	0.019	0.022	0.005
