Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
140	0.06542764	0.89285120	23.819	2.334	0.627	0.103	0.067	0.017
141	0.06543347	0.88573020	23.795	2.354	0.626	0.104	0.067	0.018
142	0.06543940	0.89484062	23.826	2.334	0.627	0.103	0.067	0.017
143	0.06543926	0.88607296	23.829	2.328	0.628	0.102	0.067	0.017
144	0.06542276	0.89436534	23.805	2.346	0.627	0.103	0.067	0.018
145	0.06543537	0.89197793	23.805	2.349	0.627	0.104	0.067	0.018
146	0.06543707	0.89247807	23.825	2.341	0.627	0.103	0.067	0.017
147	0.06545051	0.89075133	23.843	2.330	0.628	0.102	0.067	0.017
148	0.06543281	0.89137140	23.803	2.357	0.627	0.104	0.067	0.018
149	0.06545295	0.89048415	23.812	2.349	0.627	0.103	0.067	0.018
150	0.06543337	0.89228812	23.813	2.342	0.627	0.103	0.067	0.018
