Scan,Image_name, PSNR, SSIM, MSE
L286,60,35.6241,0.9219,13.956951
L286,61,36.3112,0.9362,12.220795
L286,62,35.3057,0.9155,14.862171
L286,63,37.9921,0.9331,9.390026
L286,64,36.7076,0.9233,11.767593
L286,65,35.2933,0.9462,14.157570
L286,66,35.7599,0.9205,13.751060
L286,67,36.6603,0.9225,11.859867
L286,68,38.2678,0.9397,8.848766
L286,69,36.5014,0.9203,12.273186
L286,70,36.1052,0.9191,13.393951
L286,71,35.8707,0.9238,13.600498
L286,72,36.5242,0.9384,11.873852
L286,73,34.8319,0.9093,16.496338
L286,74,36.4296,0.9216,12.491455
L286,75,38.0574,0.9350,9.143093
L286,76,36.5545,0.9335,11.830803
L286,77,36.6578,0.9409,11.529045
L286,78,36.0783,0.9276,13.148983
L286,79,35.0874,0.9082,15.940239
L286,80,36.6445,0.9373,11.482224
L286,81,34.8338,0.9013,16.586571
L286,82,36.6912,0.9253,11.826920
L286,83,36.4965,0.9326,12.254604
L286,84,36.4737,0.9354,11.978699
L286,85,37.6728,0.9367,9.522320
L286,86,37.7299,0.9388,9.348999
L286,87,37.2118,0.9256,10.922981
L286,88,36.7610,0.9229,11.699368
L286,89,38.2720,0.9392,8.748398
L286,90,36.1340,0.9208,13.182064
L286,91,36.5756,0.9332,12.127502
L286,92,37.4729,0.9308,10.084885
L286,93,36.8612,0.9254,11.557617
L286,94,37.4695,0.9362,10.059711
L286,95,36.5621,0.9363,11.953262
L286,96,37.1217,0.9406,10.625401
